SMILES,Name
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,Sulfadiazine
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,Sapropterin
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,Vinorelbine
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Clozapine
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,Grepafloxacin
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,Doxylamine
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Levonorgestrel
NC[C@H](O)c1ccc(O)c(O)c1,Norepinephrine
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,Cidofovir
CN1CCN2c3ncccc3Cc3ccccc3C2C1,Mirtazapine
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,Thiethylperazine
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,Timolol
CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,Treprostinil
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,Trihexyphenidyl
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,Palonosetron
CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,Dydrogesterone
Cc1cccc(C)c1OCC(C)N,Mexiletine
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,Dexrazoxane
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,Amlodipine
Nc1c2c(nc3ccccc13)CCCC2,Tacrine
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,Oxyphencyclimine
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Triamterene
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,Valrubicin
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,Procyclidine
CNC[C@H](O)c1cccc(O)c1,Phenylephrine
CCOC(=O)n1ccn(C)c1=S,Carbimazole
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,Digoxin
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Sulpiride
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,Profenamine
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,Nimodipine
