ID,SMILES,IC50(nM)
BDBM50360673,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NCCc2ccccc2)c1,110.0
BDBM50360672,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NCc2ccc(Cl)cc2)c1,230.0
BDBM50363933,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2c(Cl)cccc2Cl)c1,596.0
BDBM50363931,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1,2530.0
BDBM50363930,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cc(Cl)ccc2Cl)c1,38.5
BDBM50363934,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2Cl)c1,25.5
BDBM50363929,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,14.0
BDBM50360671,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,4.0
BDBM50302828,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,3.0
BDBM50363932,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cccc(Cl)c2Cl)c1,166.0
BDBM50360676,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(S(=O)(=O)Nc2ccc(Cl)cc2)c1,76.0
BDBM50364522,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cn2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,310.0
BDBM50364523,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)nc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,10.0
BDBM50360670,CCCCN=C(O)c1ccc(Oc2ccc(CC(O)=NS(C)(=O)=O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,330.0
BDBM50360669,CCCCN=C(O)c1ccc(Oc2ccc(Cc3nn[nH]n3)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,350.0
BDBM50364524,CCCCN=C(O)c1ccc(Oc2ccc3c(CC(=O)O)c[nH]c3c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,3.0
BDBM50364527,CCCCN=C(O)c1ccc(Oc2ccc3c(CC(=O)O)coc3c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,5.0
BDBM50364526,CCCCN=C(O)c1ccc(Oc2ccc3c(c2)OCC3CC(=O)O)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,580.0
BDBM50364525,CCCCN=C(O)c1ccc(Oc2ccc3c(ccn3CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50364531,CCCCN=C(O)c1ccc(S(=O)(=O)c2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,400.0
BDBM50364530,CCCCN=C(O)c1ccc(S(=O)c2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,660.0
BDBM50364529,CCCCN=C(O)c1ccc(Sc2ccc(CC(=O)O)cc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,21.0
BDBM205907,CCCCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,6.3
BDBM189227,CCCCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,11.8
BDBM50387191,CCCCOc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,10.5
BDBM50345000,CCCCOc1ccccc1-c1cc(C(F)(F)F)ccc1OCC(=O)O,10.0
BDBM50174359,CCCCS(=O)(=O)n1c(C)c(CC(=O)O)c2cc(F)ccc21,842.0
BDBM50387239,CCCCSc1nc2ccccc2n1CC(=O)O,2370.0
BDBM120032,CCCN(c1ncc(Cl)cn1)C1CCc2c(c3cc(F)ccc3n2CC(=O)O)C1,3.9
BDBM173246,CCCN(c1ncc(F)cn1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,1.0
BDBM205668,CCCN=C(O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1,764.0
BDBM205970,CCCN=C(O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,126.0
BDBM205978,CCCN=C(O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC)c2C1,78.2
BDBM50302827,CCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50387190,CCCOc1ccc(C(C)=O)cc1CSc1nc2cc(F)ccc2n1CC(=O)O,7.0
BDBM205728,CCCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,0.28
BDBM50356669,CCCS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,32.0
BDBM50356679,CCCS(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,23.0
BDBM50356677,CCCS(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,23.0
BDBM50356755,CCCS(=O)(=O)c1cccc(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,750.0
BDBM50339752,CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,7.15
BDBM50364536,CCCc1cc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n[nH]1,5.0
BDBM50018847,CCCc1cc2c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c(Oc3ccc(CC(=O)O)cc3OC)ccc2[nH]1,83.5
BDBM205746,CCCc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,3.6
BDBM50356666,CCCc1ccc(S(C)(=O)=O)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,1200.0
BDBM50364534,CCCc1nc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n[nH]1,4.0
BDBM189239,CCCc1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,86.4
BDBM50035036,CCCc1nc2ccccc2n1Cc1ccccc1-n1cc(CC(=O)O)c2ccc(C)nc21,51.0
BDBM50364535,CCCc1ncc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)[nH]1,11.0
BDBM50312296,CCN(C(C)=O)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,250.0
BDBM50458656,CCN(C(C)=O)[C@H]1c2ccccc2N(C(=O)c2ccccc2)[C@H]2CCC[C@@H]12,3385.0
BDBM50357121,CCN(C(C)=O)c1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,224.0
BDBM50387196,CCN(CC)C(=O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,101.0
BDBM50302809,CCN(CC)C(=O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(C)cc2)c1,1100.0
BDBM155016,CCN(CC)S(=O)(=O)c1ccc(-c2c(C)c(CC(=O)O)cc3ccc(Cl)cc23)cc1,0.5
