ID,IC50(nM),SMILES
11531874,4.1000000000000005,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC(=C(C=C4)F)F
11611101,2.9,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC(=CC=C4)F
46230283,1100.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)C(F)(F)F
11517351,14.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
11611100,8.7,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
24962860,18.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCC(=O)O
51031012,13.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCCCC(=O)O
46230187,810.0,C1=CC=C(C=C1)C(C2=CC=CC=N2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46230225,3200.0,C1=CC=C(C=C1)C(C2=NC(=CC=C2)Cl)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46230092,340.0,C1=CC=C(C=C1)C(CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4
57400864,9.700000000000001,C1=CC=C(C=C1)C(CCN(CCCC2=CC(=CC=C2)OCC(=O)O)C(=O)C3=CC=CC=C3)C4=CC=CC=C4
262282,158.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)Br)OCC(=O)O
11482181,251.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)C#N)OCC(=O)O
54584706,45.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)C(F)(F)F)OCC(=O)O
54581774,501.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)C3=NC=CS3)OCC(=O)O
54585639,251.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)Cl)OCC(=O)O
54583731,8912.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)N)OCC(=O)O
11818138,178.0,C1=CC=C(C=C1)C2=C(C=CC(=C2)[N+](=O)[O-])OCC(=O)O
46230227,16.0,C1=CC=C(C=C1)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O
46230226,370.0,C1=CC=C(C=C1)C2=C(SC(=N2)C(C3=CC=CC=C3)C4=CC=CC=C4)CC(=O)O
2763924,990.0,C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=C(C=C3)Cl)CC(=O)O
39453527,1500.0,C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=C(C=C3)F)CC(=O)O
46230234,160.0,C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=C(C=C3)OC4=CC=CC=C4)CC(=O)O
2763923,870.0,C1=CC=C(C=C1)C2=C(SC(=N2)C3=CC=CC=C3)CC(=O)O
46230520,88.0,C1=CC=C(C=C1)C2=C(SC(=N2)CC3=CC=C(C=C3)Cl)CC(=O)O
950344,350.0,C1=CC=C(C=C1)C2=C(SC(=N2)NC3=CC=CC=C3)CC(=O)O
44417467,42.0,C1=CC=C(C=C1)C2=CC(=C(C=C2)OCC(=O)O)C(=O)C3=CN(N=C3)C4=CC=CC=C4
72737018,14.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=O)C4=NC=C(C5=CC=CC=C54)CC(=O)O
46230191,38.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(SC(=N3)C4=CC=CC=C4)CC(=O)O
46230337,940.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC=C(C=C4)Cl)CC(=O)O
46230289,660.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC=CC=C4)CC(=O)O
54581775,2.0,C1=CC=C(C=C1)C2=CC=CC=C2C3=C(C=CC(=C3)C(F)(F)F)OCC(=O)O
46229805,41.0,C1=CC=C(C=C1)C2=CC=CC=C2CC3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46229762,24.0,C1=CC=C(C=C1)C2=CC=CC=C2CC3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
26366028,89.0,C1=CC=C(C=C1)C2=CN=NC(=N2)NN=CC3=C(C=CC(=C3)Br)OCC(=O)O
28871,550.0,C1=CC=C(C=C1)C2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
39453523,860.0,C1=CC=C(C=C1)C2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F
127031167,2400.0,C1=CC=C(C=C1)C2=NN(C(=O)N2CC(=O)O)CC3=CC=CC=C3S(=O)(=O)C4=CC=CC=C4
46230093,56.0,C1=CC=C(C=C1)CC(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46229936,180.0,C1=CC=C(C=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
46229760,140.0,C1=CC=C(C=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F
11500800,475.0,C1=CC=C(C=C1)CCCSC2=NC3=CC=CC=C3N2CC(=O)O
11619293,10.0,C1=CC=C(C=C1)CCN(C2=CC=CC=C2)C(=O)C(=CC3=CN(C4=CC=CC=C43)CC(=O)O)C#N
46229989,390.0,C1=CC=C(C=C1)CCNC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
810849,881.0,C1=CC=C(C=C1)CCSC2=NC3=CC=CC=C3N2CC(=O)O
11532165,30.0,C1=CC=C(C=C1)CN(C2=CC=CC=C2)C(=O)C(=CC3=CN(C4=CC=CC=C43)CC(=O)O)C#N
23661689,3.9810000000000003,C1=CC=C(C=C1)CN(CCC2=CN(C3=CC=CC=C32)CC(=O)O)S(=O)(=O)C4=CC=C(C=C4)F
3054243,440.0,C1=CC=C(C=C1)CNC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
810847,388.0,C1=CC=C(C=C1)CSC2=NC3=CC=CC=C3N2CC(=O)O
16660133,0.46,C1=CC=C(C=C1)N(C2=CC=C(C=C2)C#N)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
16660289,0.079,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC(=CC=C4)F
16660290,0.07200000000000001,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
16660132,0.098,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
16660287,1.5,C1=CC=C(C=C1)N(C2=CN=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
11647012,1.5,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Br)OCC(=O)O
44417474,13.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)C4=CC(=CC(=C4)F)F)OCC(=O)O
44417469,37.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)C4=CC=C(C=C4)Cl)OCC(=O)O
11494161,15.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Cl)OCC(=O)O
44417460,108.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)F)OCC(=O)O
44417465,47.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)[N+](=O)[O-])OCC(=O)O
44417459,510.0,C1=CC=C(C=C1)N2C=C(C=N2)C(=O)C3=CC=CC=C3OCC(=O)O
797803,430.0,C1=CC=C(C=C1)NC(=O)C(=CC2=CN(C3=CC=CC=C32)CC(=O)O)C#N
71552010,560.0,C1=CC=C(C=C1)NC(=O)C(=CC2=CN(C3=CC=CC=C32)CC(=O)O)Cl
71552007,5900.0,C1=CC=C(C=C1)NC(=O)C(=CC2=CN(C3=CC=CC=C32)CCC(=O)O)C#N
71552008,2600.0,C1=CC=C(C=C1)NC(=O)C(=CC2=CN(C3=CC=CC=C32)CCCC(=O)O)C#N
71552667,490.0,C1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N(C4=CC=CC=C43)CC(=O)O
71552087,4400.0,C1=CC=C(C=C1)NC(=O)C=CC2=CN(C3=CC=CC=C32)CC(=O)O
184853,100.0,C1=CC=C(C=C1)NC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
1282226,650.0,C1=CC=C(C=C1)NC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F
2178182,84.0,C1=CC=C(C=C1)NC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)OC4=CC=CC=C4
69317289,2690.0,C1=CC=C(C=C1)NCCCSC2=NC3=CC=CC=C3N2CC(=O)O
69319343,7690.0,C1=CC=C(C=C1)NCCSC2=NC3=CC=CC=C3N2CC(=O)O
72737019,14.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=O)C4=NC=C(C5=CC=CC=C54)CC(=O)O
46216756,3.7,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C(SC(=N3)CC4=CC=C(C=C4)Cl)CC(=O)O
