SMILES,IC50(nM),ID
CCC(=O)N(Cc1ccc(C(F)(F)F)cc1)c1cc(F)cc(-c2nnn[nH]2)c1,37.0,CHEMBL2036210
CCC(=O)N(Cc1cccc(O)c1)c1cc(F)cc(-c2nnn[nH]2)c1,85.0,CHEMBL2036217
CCC(=O)N(Cc1cccc(OC)c1)c1cc(F)cc(-c2nnn[nH]2)c1,64.0,CHEMBL2036026
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)NC(C)(C)Cc2ccc(F)cc2)c1,8.5,CHEMBL1933920
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)NCCc2ccc(F)cc2)c1,7.5,CHEMBL1933919
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)NCc2ccc(Cl)cc2)c1,36.0,CHEMBL1933915
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)N[C@@H](C)c2ccc(Cl)cc2)c1,8.5,CHEMBL1933917
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)N[C@@H](C)c2ccccc2)c1,3.5,CHEMBL1933918
CCC(=O)Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(=O)N[C@H](C)c2ccc(Cl)cc2)c1,137.0,CHEMBL1933916
CCC(=O)Nc1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,7.0,CHEMBL570652
CCC(C)(C)COC(=O)N1CCc2ncsc2[C@H]1c1cc(Cl)ccc1OCC(=O)O,2.0,CHEMBL3959365
CCC(C)COC(=O)N1CCc2ncsc2[C@H]1c1cc(Cl)ccc1OCC(=O)O,2.8,CHEMBL3969088
CCC(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1)c1ccccc1,63.6,CHEMBL3890037
CCC(Oc1ccc(C(F)(F)F)cc1-c1ccc(S(=O)(=O)CC)cc1C)C(=O)O,178.0,CHEMBL1778650
CCC(Oc1ccc(OC)c(-c2ccc(F)c3c2CN(C(=O)OCc2ccccc2)CC3)c1)C(=O)O,337.0,CHEMBL3904308
CCC(Oc1cccc(CCCn2cc(C(c3ccccc3)c3ccccc3)ccc2=O)c1)C(=O)O,502.0,CHEMBL1941124
CCC(c1ccccc1)c1nc(-c2ccc(Cl)cc2)c(CC(=O)O)s1,190.0,CHEMBL606858
CCC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,38.7,CHEMBL3125327
CCCC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,73.4,CHEMBL3125328
CCCCC(=O)N(Cc1ccc(OC(F)(F)F)cc1)c1cc(Cl)cc(-c2nnn[nH]2)c1,20.0,CHEMBL2036215
CCCCC(=O)N(Cc1ccc(OC)cc1)c1cc(Cl)cc(-c2nnn[nH]2)c1,10.0,CHEMBL2036029
CCCCC(=O)N(Cc1ccc2c(c1)OCCO2)c1cc(F)cc(-c2nnn[nH]2)c1,21.4,CHEMBL2036207
CCCCC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,64.0,CHEMBL1081787
CCCCC(=O)N1c2ccccc2C(N(C(C)=O)c2ccccc2)CC1C,1460.0,CHEMBL1081767
CCCCCC(=O)N1CCc2c(c3ccccc3n2CC(=O)O)C1,210.0,CHEMBL2391536
CCCCCCSc1nc2ccccc2n1CC(=O)O,1360.0,CHEMBL2048150
CCCCCN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,55.95,CHEMBL1643787
CCCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,7.0,CHEMBL569521
CCCCCSc1nc2ccccc2n1CC(=O)O,1240.0,CHEMBL2048151
